model,python3,curl,ls,cat,python,pwd,echo,for,do,cd,find,sed,*
anthropic/claude-haiku-4-5@20251001,72,5,11,64,2,9,0,0,0,24,0,0,1
anthropic/claude-opus-4-6@default,22,27,9,34,28,4,6,1,0,4,0,0,2
anthropic/claude-sonnet-4-6@default,54,31,21,16,27,2,5,2,1,63,8,0,9
claude-opus-4-7,19,19,10,11,0,1,1,1,1,3,0,5,1
deepseek-ai/deepseek-v3.2,57,29,8,0,12,0,0,0,0,0,0,0,0
gemini-2.5-flash,47,48,2,2,15,0,0,0,0,0,0,0,2
gemini-3-flash-preview,453,292,26,22,0,0,0,0,0,0,0,0,7
gemini-3.1-flash-lite-preview,17,85,5,78,0,0,0,0,0,0,0,0,2
gemini-3.1-pro-preview,39,3,5,32,0,0,0,0,0,0,0,0,3
gemma-4-31b,349,223,3,4,0,0,0,1,1,0,0,3,61
gpt-5.4-2026-03-05,265,53,35,16,241,35,2,3,3,0,35,0,14
gpt-5.4-mini-2026-03-17,163,5,6,2,24,6,5,1,1,0,4,2,2
zai/glm-5,193,90,14,1,0,3,5,0,1,4,0,0,5
